REF_AREA,REF_AREA_LABEL,TIME_PERIOD,OBS_VALUE
USA,United States,2019,27.7
ISL,Iceland,2024,28.3
ISL,Iceland,2021,28.3
TUR,Turkiye,2024,28.5
TUR,Turkiye,2021,28.5
USA,United States,2024,28.7
USA,United States,2021,28.7
ALB,Albania,2024,28.9
ALB,Albania,2021,28.9
ALB,Albania,2019,28.9
GEO,Georgia,2024,28.9
GEO,Georgia,2021,28.9
GEO,Georgia,2019,28.9
IRL,Ireland,2019,29.6
IRL,Ireland,2024,29.7
IRL,Ireland,2021,29.7
ESP,Spain,2024,29.7
ESP,Spain,2021,29.7
ESP,Spain,2019,29.7
ISR,Israel,2024,29.8
ISR,Israel,2021,29.8
ISR,Israel,2019,29.9
TTO,Trinidad and Tobago,2024,30.2
TTO,Trinidad and Tobago,2021,30.2
TTO,Trinidad and Tobago,2019,30.3
ISL,Iceland,2019,30.6
ITA,Italy,2024,31.4
ITA,Italy,2021,31.4
ITA,Italy,2019,31.7
NLD,Netherlands,2024,31.7
NLD,Netherlands,2021,31.7
PRT,Portugal,2019,33.9
CYP,Cyprus,2024,34
CYP,Cyprus,2021,34
MUS,Mauritius,2024,34
MUS,Mauritius,2021,34
MUS,Mauritius,2019,34
NLD,Netherlands,2019,34.1
CYP,Cyprus,2019,34.3
PRT,Portugal,2024,34.5
PRT,Portugal,2021,34.5
BIH,Bosnia and Herzegovina,2024,34.9
BIH,Bosnia and Herzegovina,2021,34.9
BIH,Bosnia and Herzegovina,2019,34.9
FIN,Finland,2024,36.1
FIN,Finland,2021,36.1
AUS,Australia,2024,38.4
AUS,Australia,2021,38.4
AUS,Australia,2019,38.4
MNE,Montenegro,2024,38.6
MNE,Montenegro,2021,38.6
MNE,Montenegro,2019,39.3
FIN,Finland,2019,39.7
UZB,Uzbekistan,2024,39.8
UZB,Uzbekistan,2021,39.8
UZB,Uzbekistan,2019,39.8
CHN,China,2019,40.2
LKA,Sri Lanka,2024,41.5
LKA,Sri Lanka,2021,41.5
LKA,Sri Lanka,2019,41.5
ARM,Armenia,2024,42
ARM,Armenia,2021,42
ARM,Armenia,2019,42
GRC,Greece,2024,42
GRC,Greece,2021,42
GRC,Greece,2019,42
LUX,Luxembourg,2024,42.6
LUX,Luxembourg,2021,42.6
MKD,North Macedonia,2024,42.8
MKD,North Macedonia,2021,42.8
CHN,China,2024,43.1
CHN,China,2021,43.1
MKD,North Macedonia,2019,43.7
KGZ,Kyrgyz Republic,2024,44.1
KGZ,Kyrgyz Republic,2021,44.1
KGZ,Kyrgyz Republic,2019,44.1
SVN,Slovenia,2024,44.3
SVN,Slovenia,2021,44.3
MLT,Malta,2024,44.9
MLT,Malta,2021,44.9
SVN,Slovenia,2019,44.9
EST,Estonia,2024,45.7
EST,Estonia,2021,45.7
CHE,Switzerland,2024,46.3
CHE,Switzerland,2021,46.3
LUX,Luxembourg,2019,46.6
MLT,Malta,2019,46.7
TJK,Tajikistan,2024,46.7
TJK,Tajikistan,2021,46.7
TJK,Tajikistan,2019,46.7
CHE,Switzerland,2019,46.9
EST,Estonia,2019,47.6
AZE,Azerbaijan,2024,48.2
AZE,Azerbaijan,2021,48.2
AZE,Azerbaijan,2019,48.2
ARG,Argentina,2019,49.5
ARG,Argentina,2024,49.9
ARG,Argentina,2021,49.9
HRV,Croatia,2019,54.9
LVA,Latvia,2024,54.9
LVA,Latvia,2021,54.9
HRV,Croatia,2024,55.4
HRV,Croatia,2021,55.4
BEL,Belgium,2024,55.8
BEL,Belgium,2021,55.8
SRB,Serbia,2019,55.9
SRB,Serbia,2024,56.1
SRB,Serbia,2021,56.1
BEL,Belgium,2019,56.6
MDA,Moldova,2024,56.6
MDA,Moldova,2021,56.6
MDA,Moldova,2019,56.6
SVK,Slovak Republic,2024,57
SVK,Slovak Republic,2021,57
LVA,Latvia,2019,57.2
SVK,Slovak Republic,2019,57.8
BRB,Barbados,2019,58.9
FRA,France,2024,59.1
FRA,France,2021,59.1
BRB,Barbados,2024,59.7
BRB,Barbados,2021,59.7
FRA,France,2019,60.6
KAZ,Kazakhstan,2024,60.6
KAZ,Kazakhstan,2021,60.6
KAZ,Kazakhstan,2019,60.6
LTU,Lithuania,2024,64.3
LTU,Lithuania,2021,64.3
POL,Poland,2024,65.4
POL,Poland,2021,65.4
CZE,Czechia,2024,66.2
CZE,Czechia,2021,66.2
POL,Poland,2019,66.4
CZE,Czechia,2019,66.6
LTU,Lithuania,2019,66.9
ROU,Romania,2019,68.4
ROU,Romania,2024,68.9
ROU,Romania,2021,68.9
HUN,Hungary,2019,70
MNG,Mongolia,2019,70
HUN,Hungary,2024,70.1
HUN,Hungary,2021,70.1
AUT,Austria,2024,72.7
AUT,Austria,2021,72.7
BGR,Bulgaria,2019,72.7
AUT,Austria,2019,74.2
BGR,Bulgaria,2024,74.5
BGR,Bulgaria,2021,74.5
DEU,Germany,2024,80
DEU,Germany,2021,80
MNG,Mongolia,2024,80
MNG,Mongolia,2021,80
DEU,Germany,2019,80.6
KOR,"Korea, Rep.",2019,119.8
KOR,"Korea, Rep.",2024,124.3
KOR,"Korea, Rep.",2021,124.3
JPN,Japan,2024,129.8
JPN,Japan,2021,129.8
JPN,Japan,2019,131.1
