"yr","country","beds","physicians","population","health_spend","mortality"
2024,"Costa Rica",11,0,5129910,0,0
2021,"Costa Rica",11,2.518,5059988,2280816765017.23,100.8055
2019,"Costa Rica",11.4,2.337,4999553,1013342914288.67,77.3265
2024,"Cote d'Ivoire",2.8,0,31934230,0,0
2021,"Cote d'Ivoire",2.8,0.18,29639736,0,353.968
2019,"Cote d'Ivoire",2.8,0.16,28193009,0,337.651
2024,"Croatia",55.4,0,3866300,0,0
2021,"Croatia",55.4,3.61,3878981,7974986000,76.997
2019,"Croatia",54.9,6.931,3949390,6589242000,71.131
2024,"Cyprus",34,0,1358282,0,0
2021,"Cyprus",34,3.552,1317309,2957400000,54.2255
2019,"Cyprus",34.3,3.066,1286671,1.03e+09,54.1815
2024,"Czechia",66.2,0,10882164,0,0
2021,"Czechia",66.2,4.254,10505772,1.150029e+12,94.119
2019,"Czechia",66.6,4.119,10671870,8.47674e+11,79.5325
2024,"Denmark",26,0,5976992,0,0
2021,"Denmark",26,0,5856733,4.52743e+11,56.681
2019,"Denmark",26.1,4.265,5814422,3.8351e+11,58.723
2024,"Dominican Republic",15.6,0,11427557,0,0
2021,"Dominican Republic",15.6,2.03,11123476,0,156.9095
2019,"Dominican Republic",14.4,1.433,10894043,0,145.395
2024,"Ecuador",13.9,0,18135478,0,0
2021,"Ecuador",13.9,0,17682454,0,151.987
2019,"Ecuador",13.9,2.32,17340021,0,111.7545
2024,"Egypt, Arab Rep.",14.3,0,116538258,0,0
2021,"Egypt, Arab Rep.",14.3,0,110957008,0,156.5375
2019,"Egypt, Arab Rep.",14.3,0.709,107553158,0,142.5295
2024,"El Salvador",12,0,6338193,0,0
2021,"El Salvador",12,2.913,6255782,1946500000,213.4875
2019,"El Salvador",10.6,0,6222318,1423800000,190.4295
2024,"Estonia",45.7,0,1371986,0,0
2021,"Estonia",45.7,3.438,1330932,4308700000,0
2019,"Estonia",47.6,3.469,1326898,3314400000,102.62
2024,"Finland",36.1,0,5637214,0,0
2021,"Finland",36.1,4.381,5541017,3.7962e+10,64.8705
2019,"Finland",39.7,3.567,5521606,3.3915e+10,65.526
2024,"France",59.1,0,68516699,0,0
2021,"France",59.1,3.343,67842811,4.5472e+11,69.8695
2019,"France",60.6,3.31,67382061,3.82241e+11,69.392
2024,"Georgia",28.9,0,3673850,0,0
2021,"Georgia",28.9,5.33,3708610,2700500000,168.435
2019,"Georgia",28.9,7.503,3720161,1437900000,146.184
2024,"Germany",80,0,83510950,0,0
2021,"Germany",80,4.518,83196078,6.39411e+11,0
2019,"Germany",80.6,4.394,83092962,5.01771e+11,65.1015
2024,"Ghana",9,0,34427414,0,0
2021,"Ghana",9,0.127,32518665,0,252.3885
2019,"Ghana",9,0.103,31258945,0,236.5205
2024,"Greece",42,0,10388805,0,0
2021,"Greece",42,6.367,10569207,1.7844e+10,75.256
2019,"Greece",42,6.247,10721582,1.5726e+10,61.5595
2024,"Guatemala",4.4,0,18406359,0,0
2021,"Guatemala",4.4,0,17598650,22502570957.03,219.1675
2019,"Guatemala",2.6,0,17103803,19121663124.11,168.0575
2024,"Honduras",6.4,0,10825703,0,0
2021,"Honduras",6.4,0,10289877,0,176.096
2019,"Honduras",6.4,0,9943633,0,138.5795
2024,"Hungary",70.1,0,9562314,0,0
2021,"Hungary",70.1,3.298,9630932,6018178239000,0
2019,"Hungary",70,3.493,9694824,4.093436e+12,117.172
2024,"Iceland",28.3,0,404610,0,0
2021,"Iceland",28.3,4.405,372520,394106627086.62,52.5025
2019,"Iceland",30.6,3.891,360563,326884391085.378,54.7975
2024,"India",5.3,0,1450935791,0,0
2021,"India",5.3,0,1414203896,0,219.869
2019,"India",4.8,0,1389030312,0,166.591
2024,"Indonesia",10.4,0,283487931,0,0
2021,"Indonesia",10.4,0.695,276758053,585850000174298,211.94
2019,"Indonesia",9.9,0.467,272489381,397568047898508,167.5745
2024,"Iran, Islamic Rep.",15.6,0,91567738,0,0
2021,"Iran, Islamic Rep.",15.6,0,88455488,0,115.0605
2019,"Iran, Islamic Rep.",17,0,87051648,0,96.0505
2024,"Ireland",29.7,0,5380257,0,0
2021,"Ireland",29.7,4.062,5110585,22435422000,0
2019,"Ireland",29.6,3.343,4976456,17052448000,56.9845
2024,"Israel",29.8,0,9974400,0,0
2021,"Israel",29.8,3.654,9371400,122495410689.628,0
2019,"Israel",29.9,3.542,9054000,103664287168.845,0
2024,"Italy",31.4,0,58986023,0,0
2021,"Italy",31.4,4.097,59133173,2.68703e+11,0
2019,"Italy",31.7,4.051,59729081,2.43479e+11,48.5055
2024,"Jamaica",17.2,0,2839175,0,0
2021,"Jamaica",17.2,0,2837682,0,178.3475
2019,"Jamaica",17.8,0,2823271,0,162.3735
2024,"Japan",129.8,0,123975371,0,0
2021,"Japan",129.8,0,125681593,1.053929e+14,49.9895
2019,"Japan",131.1,0,126633000,9.01374e+13,49.929
2024,"Jordan",14.7,0,11552876,0,0
2021,"Jordan",14.7,0,11066356,0,102.4345
2019,"Jordan",14,2.513,10671891,0,88.68
2024,"Kazakhstan",60.6,0,20592571,0,0
2021,"Kazakhstan",60.6,0,19743603,2826109726124.6,199.675
2019,"Kazakhstan",60.6,3.948,19209555,1536031597969.84,176.28
2024,"Kenya",14,0,56432944,0,0
2021,"Kenya",14,0.098,53219166,108838635352.8,365.1385
2019,"Kenya",14,0,51202827,92023578246.9499,336.712
