"yr","country","beds","physicians","population","health_spend","mortality"
2022,"Ghana",0,0.141,33149152,0,250.5655
2020,"Greece",0,6.296,10698599,1.6471e+10,68.4905
2020,"Guatemala",0,1.28,17357325,19521036300.7,187.0275
2022,"Guinea",0,0.021,14055137,0,282.426
2020,"Guinea-Bissau",0,0.191,2013255,0,307.44
2021,"Guinea-Bissau",0,0.22,2058841,0,318.4855
2022,"Guinea-Bissau",0,0.208,2105529,0,315.6785
2020,"Guyana",0,1.405,807481,0,225.7965
2020,"Heavily indebted poor countries (HIPC)",0,0.175855696974443,847743308,0,256.28632095645
2020,"High income",0,3.581658726849,1393490142,0,84.4328213618
2020,"Honduras",0,0.489,10119640,0,155.056
2020,"Hungary",0,3.139,9670419,5.320822e+12,121.4395
2020,"IBRD only",0,1.69455812119909,4878606096,0,0
2020,"IDA & IBRD total",0,1.37707132594421,6666779721,0,161.7028830573
2020,"IDA blend",0,0.729728118761076,626440308,0,0
2020,"IDA only",0,0.355406903900845,1161733317,0,0
2020,"IDA total",0,0.490627828851603,1788173625,0,0
2020,"Iceland",0,4.317,366463,337333075551.02,54.278
2022,"Iceland",0,4.524,382003,435594805418.809,0
2020,"India",0,0.727,1402617695,0,173.415
2020,"Indonesia",0,0.627,274814866,526926614133762,190.51
2022,"Indonesia",0,0.69,278830529,522701671311156,201.118
2019,"Iraq",0,0.873,41192171,0,141.1215
2020,"Iraq",0,0.913,42116605,0,175.0925
2021,"Iraq",0,0.972,43071211,0,155.1525
2022,"Iraq",0,1.012,44070551,0,144.729
2020,"Ireland",0,3.484,5039747,20646128000,54.9285
2020,"Israel",0,3.584,9215100,114907903599.582,0
2022,"Israel",0,3.713,9557500,125624857102.453,0
2020,"Italy",0,3.997,59438851,2.58712e+11,51.957
2022,"Italy",0,4.248,59013667,2.7471e+11,0
2020,"Japan",0,2.614,126261000,9.79493e+13,50.079
