"yr","country","beds","physicians","population","health_spend","mortality"
2024,"Malawi",1.3,0,21.655286,0,0
2021,"Malawi",1.3,0,20.047258,0,325.1095
2019,"Malawi",1.3,0,19.025752,0,306.2385
2024,"Malaysia",1.88,0,35.557673,0,0
2021,"Malaysia",1.88,2.316,34.282399,0,113.8085
2019,"Malaysia",1.62,2.06,33.440596,0,111.3625
2024,"Mali",0.1,0,24.478595,0,0
2021,"Mali",0.1,0,22.38863,0,282.635
2019,"Mali",0.1,0,21.068405,0,259.821
2024,"Malta",4.49,0,0.574346,0,0
2021,"Malta",4.49,4.276,0.51815,997.924,32.346
2019,"Malta",4.67,4.029,0.503912,732.151,37.686
2024,"Mauritius",3.4,0,1.259509,0,0
2021,"Mauritius",3.4,0,1.266334,15093.7,150.588
2019,"Mauritius",3.4,2.538,1.265985,13148.9143576426,124.9315
2024,"Mexico",0.98,0,130.861007,0,0
2021,"Mexico",0.98,2.559,127.648148,0,209.6035
2019,"Mexico",1,2.474,125.762982,0,152.4435
2024,"Moldova",5.66,0,2.389275,0,0
2021,"Moldova",5.66,3.246,2.595809,25242.5,207.318
2019,"Moldova",5.66,3.327,2.664224,16296.9,178.8235
2024,"Mongolia",8,0,3.524788,0,0
2021,"Mongolia",8,3.874,3.383741,977673.97118468,183.8645
2019,"Mongolia",7,3.647,3.267673,990148.6400624,177.066
2024,"Montenegro",3.86,0,0.623831,0,0
2021,"Montenegro",3.86,2.768,0.625053,0,102.0975
2019,"Montenegro",3.93,2.709,0.626753,0,96.319
2024,"Morocco",1,0,38.081173,0,0
2021,"Morocco",1,0,36.954442,0,106.3495
2019,"Morocco",1.1,0,36.210898,0,106.5305
2024,"Nepal",0.3,0,29.651054,0,0
2021,"Nepal",0.3,0.867,29.47501,124962.46703047,185.9815
2019,"Nepal",0.3,0.803,28.414064,0,170.418
2024,"Netherlands",3.17,0,17.994237,0,0
2021,"Netherlands",3.17,3.906,17.533044,138291,57.4465
2019,"Netherlands",3.41,3.751,17.344874,115596,53.7115
2024,"New Zealand",2.57,0,5.3385,0,0
2021,"New Zealand",2.57,3.516,5.1113,25841.5618789496,63.4405
2019,"New Zealand",2.73,3.39,4.9792,20845.28,66.6665
2024,"Nicaragua",0.93,0,6.91614,0,0
2021,"Nicaragua",0.93,0,6.644741,0,143.2845
2019,"Nicaragua",0.93,0,6.483657,0,142.12
2024,"Nigeria",0.8,0,232.679478,0,0
2021,"Nigeria",0.8,0.395,218.529286,0,376.2795
2019,"Nigeria",0.8,0.367,209.485641,0,363.719
2024,"Oman",1.47,0,5.281538,0,0
2021,"Oman",1.47,1.997,4.500424,0,114.8175
2019,"Oman",1.49,2.086,4.591241,0,64.8425
2024,"Pakistan",0.63,0,251.269164,0,0
2021,"Pakistan",0.63,0,239.477801,0,183.124
2019,"Pakistan",0.63,1.084,230.800899,0,171.218
2024,"Panama",2.25,0,4.515577,0,0
2021,"Panama",2.25,1.734,4.345405,0,123.1805
2019,"Panama",2.25,1.638,4.2347,0,115.861
2024,"Paraguay",0.83,0,6.929153,0,0
2021,"Paraguay",0.83,3.242,6.684182,0,188.3585
2019,"Paraguay",0.83,0,6.515058,0,146.8395
2024,"Peru",1.59,0,34.217848,0,0
2021,"Peru",1.59,1.646,33.155882,0,173.05
2019,"Peru",1.59,0,32.449303,0,111.7655
2024,"Philippines",0.99,0,115.84367,0,0
2021,"Philippines",0.99,0.786,113.10095,0,169.0655
2019,"Philippines",0.99,0.735,110.804683,0,133.829
2024,"Poland",6.54,0,36.554707,0,0
2021,"Poland",6.54,3.391,36.981559,351225.08,0
2019,"Poland",6.64,3.256,37.965475,255186.76,108.0135
2024,"Portugal",3.45,0,10.701636,0,0
2021,"Portugal",3.45,5.767,10.361831,17524.109,72.5265
2019,"Portugal",3.39,5.45,10.286263,14746.566,69.82
2024,"Qatar",1.25,0,2.857822,0,0
2021,"Qatar",1.25,0,2.50491,0,51.125
2019,"Qatar",1.2,0,2.638657,0,41.9295
2024,"Romania",6.89,0,19.06934,0,0
2021,"Romania",6.89,3.471,19.122059,136549.5,123.011
2019,"Romania",6.84,3.162,19.371648,113194.9,106.9725
2024,"Rwanda",1.898,0,14.256567,0,0
2021,"Rwanda",1.898,0,13.35526,0,235.658
2019,"Rwanda",1.898,0.116,12.776103,0,232.4785
2024,"Saudi Arabia",2.24,0,35.30028,0,0
2021,"Saudi Arabia",2.24,2.789,30.784383,0,90.3825
2019,"Saudi Arabia",2.23,2.633,30.063799,0,91.1295
